Date,Name(s)
December 6,Mikuláš
December 7,Ambrož, Benjamín
December 8,Květoslava
December 9,Vratislav
December 10,Julie
December 11,Dana
December 12,Simona
December 13,Lucie
December 14,Lýdie
December 15,Milada
December 16,Albína
December 17,Daniel
December 18,Miloš
December 19,Ester
December 20,Dagmar
December 21,Natálie
December 22,Šimon
December 23,Vlasta
December 24,Adam, Eva
December 25,1. svátek vánoční
December 26,Štěpán
December 27,Žaneta
December 28,Bohumila
December 29,Judita
December 30,David
December 31,Silvestr
